note_id,version,uncompressed_size,compression_ratio,decompression_latency
note_1759924476_0,1,583.0,0.6792452830188679,3.0279159545898438e-05
note_1759924476_0,2,454.0,0.6938325991189427,
note_1759923004_1,1,841.0,0.6302021403091558,0.0010561943054199219
note_1759923004_1,2,333.0,0.7357357357357357,
note_1759924358_1,1,532.0,0.6616541353383458,2.7418136596679688e-05
note_1759924358_1,2,732.0,0.6844262295081968,2.8848648071289062e-05
note_1759930069_0,1,985.0,0.584771573604061,2.8371810913085938e-05
note_1759924998_1,1,830.0,0.6048192771084338,
note_1759924998_1,2,566.0,0.6872791519434629,2.765655517578125e-05
note_1759924643_0,1,795.0,0.6150943396226415,
note_1759924643_0,2,422.0,0.7251184834123223,2.765655517578125e-05
note_1759926224_0,1,215.0,0.8046511627906977,2.574920654296875e-05
note_1759926224_0,2,341.0,0.7126099706744868,
note_1759927346_0,1,455.0,0.6967032967032967,2.8133392333984375e-05
note_1759930314_0,1,792.0,0.6527777777777778,3.147125244140625e-05
note_1759923647_0,1,752.0,0.651595744680851,3.218650817871094e-05
note_1759923647_0,2,637.0,0.673469387755102,3.123283386230469e-05
note_1759926100_0,1,567.0,0.6825396825396826,2.9325485229492188e-05
note_1759926100_0,2,285.0,0.7684210526315789,
note_1759929464_0,1,558.0,0.6612903225806451,3.0994415283203125e-05
note_1759924644_1,1,914.0,0.6050328227571116,
note_1759924644_1,2,491.0,0.6782077393075356,2.7179718017578125e-05
note_1759929373_0,1,919.0,0.5995647442872688,0.0011086463928222656
note_1759923981_1,1,546.0,0.6648351648351648,2.7179718017578125e-05
note_1759923981_1,2,484.0,0.7086776859504132,
note_1759927582_0,1,826.0,0.6307506053268765,2.9802322387695312e-05
note_1759925153_0,1,108.0,0.9814814814814815,2.3365020751953125e-05
note_1759925153_0,2,218.0,0.8256880733944955,2.47955322265625e-05
note_1759929755_0,1,123.0,0.9186991869918699,2.6464462280273438e-05
note_1759929347_0,1,591.0,0.6480541455160744,0.00010728836059570312
note_1759927208_0,1,611.0,0.6481178396072013,2.765655517578125e-05
note_1759926288_0,1,295.0,0.711864406779661,3.0040740966796875e-05
note_1759926288_0,2,650.0,0.6307692307692307,2.7894973754882812e-05
note_1759926288_1,1,361.0,0.7257617728531855,
note_1759926288_1,2,112.0,0.9732142857142857,
note_1759923648_1,1,435.0,0.6459770114942529,
note_1759923648_1,2,234.0,0.7393162393162394,2.47955322265625e-05
note_1759926715_0,1,244.0,0.7459016393442623,2.574920654296875e-05
note_1759930111_0,1,670.0,0.6164179104477612,2.6941299438476562e-05
note_1759923981_0,1,411.0,0.6982968369829684,2.8133392333984375e-05
note_1759923981_0,2,748.0,0.6029411764705882,
note_1759923910_1,1,363.0,0.6804407713498623,
note_1759923910_1,2,103.0,0.912621359223301,2.1457672119140625e-05
note_1759927626_0,1,554.0,0.6732851985559567,2.8133392333984375e-05
note_1759926690_0,1,665.0,0.6421052631578947,4.076957702636719e-05
note_1759924996_0,1,172.0,0.8546511627906976,2.6226043701171875e-05
note_1759924996_0,2,352.0,0.7272727272727273,
note_1759925339_1,1,304.0,0.7039473684210527,
note_1759925339_1,2,381.0,0.7349081364829396,
note_1759924159_0,1,375.0,0.744,2.8371810913085938e-05
note_1759924159_0,2,116.0,0.9568965517241379,2.5033950805664062e-05
note_1759927017_0,1,270.0,0.725925925925926,2.4080276489257812e-05
note_1759926404_0,1,559.0,0.6386404293381037,2.5510787963867188e-05
note_1759926101_1,1,681.0,0.6431718061674009,3.075599670410156e-05
note_1759926101_1,2,642.0,0.67601246105919,2.8371810913085938e-05
note_1759924021_1,1,610.0,0.6754098360655738,2.956390380859375e-05
note_1759924021_1,2,544.0,0.6819852941176471,2.9087066650390625e-05
note_1759924477_1,1,629.0,0.6804451510333863,2.8848648071289062e-05
note_1759924477_1,2,380.0,0.6789473684210526,2.384185791015625e-05
note_1759923437_1,1,859.0,0.6449359720605355,3.0994415283203125e-05
note_1759923437_1,2,770.0,0.6142857142857143,3.123283386230469e-05
note_1759923003_0,1,162.0,0.8209876543209876,2.1219253540039062e-05
note_1759923003_0,2,219.0,0.7808219178082192,2.47955322265625e-05
note_1759924160_1,1,454.0,0.6674008810572687,2.6226043701171875e-05
note_1759924160_1,2,225.0,0.7244444444444444,
note_1759923909_0,1,803.0,0.6525529265255293,
note_1759923909_0,2,948.0,0.5959915611814346,2.7179718017578125e-05
note_1759929931_0,1,875.0,0.6228571428571429,3.170967102050781e-05
note_1759929322_0,1,481.0,0.6715176715176715,0.019591808319091797
note_1759930365_0,1,921.0,0.6156351791530945,3.0994415283203125e-05
note_1759924357_0,1,480.0,0.6895833333333333,
note_1759924357_0,2,142.0,0.8732394366197183,2.5510787963867188e-05
note_1759927666_0,1,523.0,0.6500956022944551,2.5272369384765625e-05
note_1759926225_1,1,174.0,0.7988505747126436,
note_1759926225_1,2,857.0,0.6277712952158693,0.01848292350769043
note_1759925338_0,1,146.0,0.8767123287671232,
note_1759925338_0,2,346.0,0.684971098265896,2.4080276489257812e-05
note_1759923435_0,1,971.0,0.5870236869207003,0.017876148223876953
note_1759923435_0,2,616.0,0.6331168831168831,
note_1759926600_0,1,552.0,0.6938405797101449,3.0279159545898438e-05
note_1759926482_0,1,856.0,0.6133177570093458,2.7418136596679688e-05
note_1759929990_0,1,831.0,0.6293622141997594,3.0517578125e-05
note_1759930025_0,1,731.0,0.6511627906976745,2.9802322387695312e-05
note_1759924020_0,1,554.0,0.6805054151624549,2.956390380859375e-05
note_1759924020_0,2,260.0,0.7538461538461538,
note_1759930174_0,1,708.0,0.6596045197740112,3.2901763916015625e-05
note_1759925154_1,1,541.0,0.6765249537892791,2.8848648071289062e-05
note_1759925154_1,2,938.0,0.6279317697228145,3.0279159545898438e-05
